"state","date","temp","deaths","Ni","rr_i","ac_i"
"North Carolina",2020-05-02,16.8571428571429,102,93.375,1.00679248439061,0.62996917419099
"North Carolina",2020-05-09,16.6571428571429,92,92.625,1.00672879013205,0.619088469596379
"North Carolina",2020-05-16,17.6,89,92.25,1.00702909834895,0.643908228425625
"North Carolina",2020-05-23,19.4142857142857,94,91.625,1.00760721622089,0.691748902765008
"North Carolina",2020-05-30,22.5285714285714,82,93.375,1.008600349939,0.796209991006943
"North Carolina",2020-06-06,24.2714285714286,103,94.875,1.00915656749551,0.860846938045462
"North Carolina",2020-06-13,25.1714285714286,92,91.75,1.0094439146809,0.858372772742128
"North Carolina",2020-06-20,19.4714285714286,93,93.5,1.00762543004799,0.707582091743337
"North Carolina",2020-06-27,25.1428571428571,96,94.75,1.00943479129066,0.885591107521914
"North Carolina",2020-07-04,26.8571428571429,89,95.125,1.0099823406814,0.940184911230833
"North Carolina",2020-07-11,26.6571428571429,84,96.25,1.00991844461807,0.945274640320187
"North Carolina",2020-07-18,28.0857142857143,108,97.125,1.01037493376999,0.997318330780545
"North Carolina",2020-07-25,28.1857142857143,94,94.75,1.01040689573682,0.975897309513286
"North Carolina",2020-08-01,27.9428571428571,78,95,1.01032927557122,0.971248881916521
"North Carolina",2020-08-08,25.5857142857143,106,96.625,1.00957621310593,0.916524754989595
"North Carolina",2020-08-15,25.4428571428571,103,93,1.00953059100084,0.877977320330008
"North Carolina",2020-08-22,23.8571428571429,99,91.25,1.00902432406232,0.816104776713235
"North Carolina",2020-08-29,26.6428571428571,98,92,1.00991388076823,0.903123571272542
"North Carolina",2020-09-05,26.9285714285714,91,92.875,1.01000516168372,0.920024398515423
"North Carolina",2020-09-12,23.6857142857143,89,91.875,1.0089696077109,0.81675672105579
"North Carolina",2020-09-19,20.6285714285714,96,95.75,1.00799433089284,0.759386396857123
"North Carolina",2020-09-26,16.7857142857143,91,99.375,1.00676973597853,0.668218847691639
"North Carolina",2020-10-03,18.5142857142857,77,100.875,1.00732039186805,0.733078110650008
"North Carolina",2020-10-10,17.9,89,105.25,1.00712466974851,0.744566699192877
"North Carolina",2020-10-17,17.8142857142857,105,108.25,1.00709736270886,0.76287511186387
"North Carolina",2020-10-24,18.3857142857143,105,108.375,1.00727942362612,0.783206245433312
"North Carolina",2020-10-31,16.9714285714286,83,111.5,1.00682888291909,0.756256061378151
"North Carolina",2020-11-07,12.6142857142857,120,116.625,1.00544211984856,0.631251878958815
"North Carolina",2020-11-14,17.7428571428571,125,117.5,1.00707460740807,0.825426799895445
"North Carolina",2020-11-21,10.3428571428571,103,117.75,1.00471994192847,0.553162268293641
"North Carolina",2020-11-28,12.5142857142857,112,121.75,1.00541031493134,0.655161214389866
"North Carolina",2020-12-05,8.71428571428571,113,124.125,1.00420247328951,0.519449026401886
"North Carolina",2020-12-12,6.5,106,129.625,1.0034993250128,0.452018246029074
"North Carolina",2020-12-19,6.02857142857143,130,131,1.00334968605796,0.437343908798813
"North Carolina",2020-12-26,5.65714285714286,124,129.375,1.00323180441569,0.41676778431375
"North Carolina",2021-01-02,7.05714285714286,127,129.75,1.003676199823,0.475239850380391
"North Carolina",2021-01-09,5.17142857142857,127,126.875,1.00307767239608,0.389281604005214
"North Carolina",2021-01-16,4.92857142857143,135,123,1.00300061526655,0.367971536775323
"North Carolina",2021-01-23,5.24285714285714,131,119.375,1.00310033738433,0.368958878250914
"North Carolina",2021-01-30,3.27142857142857,157,115.25,1.00247497165907,0.284536264516646
"North Carolina",2021-02-06,3.75714285714286,117,108,1.00262901106822,0.28318868916936
"North Carolina",2021-02-13,4.82857142857143,117,105.125,1.00296888758088,0.311180447174746
"North Carolina",2021-02-20,3.75714285714286,127,100.75,1.00262901106822,0.26417833735012
"North Carolina",2021-02-27,8.08571428571429,104,98.875,1.00400281984336,0.39420089683981
"North Carolina",2021-03-06,9.87142857142857,96,96.5,1.00457012095872,0.439010342150754
"North Carolina",2021-03-13,11.9857142857143,106,97,1.00524221993846,0.505843590673876
"North Carolina",2021-03-20,10.0571428571429,98,95.25,1.0046291386736,0.438893758589117
"North Carolina",2021-03-27,15.8571428571429,99,97.125,1.00647405339115,0.624747785099056
"North Carolina",2021-04-03,11.8714285714286,94,97.875,1.00520587877047,0.506886594498789
"North Carolina",2021-04-10,18.4714285714286,82,98.125,1.00730673560227,0.711772696073664
"North Carolina",2021-04-17,17.2857142857143,112,99.25,1.00692898565772,0.682969540379085
"North Carolina",2021-04-24,13.4142857142857,85,95,1.00569659540897,0.53811116227587
"North Carolina",2021-05-01,20.1571428571429,100,94.625,1.00784402165555,0.736463711852557
"North Carolina",2021-05-08,19.4857142857143,92,92.75,1.00762998355621,0.702322267486369
"North Carolina",2021-05-15,15.8714285714286,113,91.125,1.00647860169625,0.586562474925364
