"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2021 Week 22 ending June 05, 2021","2021/22","Diseases of the circulatory system","I00-I99",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 22 ending June 05, 2021","2021/22","Diseases of the genitourinary system","N00-N99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 23 ending June 12, 2021","2021/23","Diseases of the circulatory system","I00-I99",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 23 ending June 12, 2021","2021/23","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 24 ending June 19, 2021","2021/24","Diseases of the circulatory system","I00-I99",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 24 ending June 19, 2021","2021/24","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 25 ending June 26, 2021","2021/25","Diseases of the circulatory system","I00-I99",48,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 25 ending June 26, 2021","2021/25","Diseases of the genitourinary system","N00-N99",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 26 ending July 03, 2021","2021/26","Diseases of the circulatory system","I00-I99",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 26 ending July 03, 2021","2021/26","Diseases of the genitourinary system","N00-N99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 27 ending July 10, 2021","2021/27","Diseases of the circulatory system","I00-I99",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 27 ending July 10, 2021","2021/27","Diseases of the genitourinary system","N00-N99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 28 ending July 17, 2021","2021/28","Diseases of the circulatory system","I00-I99",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 28 ending July 17, 2021","2021/28","Diseases of the genitourinary system","N00-N99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2021 Week 29 ending July 24, 2021","2021/29","Diseases of the circulatory system","I00-I99",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
